df1,df2,stat,prob,unit,test
1,,2.90609208220337,0.0882454646664128,LOW-imp-Italy,Sargan
2,22,28.3435790243684,8.16031695472823e-07,LOW-imp-Netherlands,Weak-IV
1,22,0.0571532673790119,0.813266294405888,LOW-imp-Netherlands,Wu-Hausman
1,,3.28934214898413,0.0697309552670039,LOW-imp-Netherlands,Sargan
2,22,78.8820320375311,9.22396892754141e-11,LOW-imp-Portugal,Weak-IV
1,22,0.00277705122060325,0.958448334192674,LOW-imp-Portugal,Wu-Hausman
1,,9.24128932898501,0.00236618289479481,LOW-imp-Portugal,Sargan
2,22,139.299545144946,3.22689777605287e-13,LOW-imp-Spain,Weak-IV
1,22,0.115514369125331,0.737174886777971,LOW-imp-Spain,Wu-Hausman
1,,11.4611393453927,0.000710667155868171,LOW-imp-Spain,Sargan
2,22,64.4181690008324,6.3545340065192e-10,MED-imp-Austria,Weak-IV
1,22,2.4632809581715,0.130807314637445,MED-imp-Austria,Wu-Hausman
1,,1.93369195472167,0.164355091854399,MED-imp-Austria,Sargan
2,22,187.614049789881,1.5038686331879e-14,MED-imp-Finland,Weak-IV
1,22,1.29165591919413,0.267971678166328,MED-imp-Finland,Wu-Hausman
1,,4.0006799971399,0.0454819109451716,MED-imp-Finland,Sargan
2,22,63.4334813156279,7.3429046224817e-10,MED-imp-France,Weak-IV
1,22,0.351523426150679,0.559298024530842,MED-imp-France,Wu-Hausman
1,,0.0174708058257117,0.894844153713285,MED-imp-France,Sargan
2,22,58.9335434881429,1.45807095988622e-09,MED-imp-Germany,Weak-IV
1,22,2.66458860595028,0.116836867426323,MED-imp-Germany,Wu-Hausman
1,,0.91743381442069,0.338149672142464,MED-imp-Germany,Sargan
2,22,125.235546462301,9.50877820691469e-13,MED-imp-Greece,Weak-IV
1,22,3.65388001588514,0.0690525117410343,MED-imp-Greece,Wu-Hausman
1,,1.07050604691985,0.300831169774988,MED-imp-Greece,Sargan
2,22,166.810836470748,5.07900992745651e-14,MED-imp-Italy,Weak-IV
1,22,1.73430897444436,0.20141522431892,MED-imp-Italy,Wu-Hausman
1,,0.0030820910448125,0.955726918592727,MED-imp-Italy,Sargan
2,22,24.919230140887,2.22188879372379e-06,MED-imp-Netherlands,Weak-IV
1,22,0.22991102297547,0.636322013004226,MED-imp-Netherlands,Wu-Hausman
1,,6.97781778840227,0.00825261774404756,MED-imp-Netherlands,Sargan
2,22,77.5232315417766,1.0906607456268e-10,MED-imp-Portugal,Weak-IV
1,22,0.6283375415584,0.436431073633273,MED-imp-Portugal,Wu-Hausman
1,,0.108518824058992,0.741836775771778,MED-imp-Portugal,Sargan
2,22,108.615633041741,3.97788444870895e-12,MED-imp-Spain,Weak-IV
1,22,0.169476427818928,0.684560767307674,MED-imp-Spain,Wu-Hausman
1,,2.04134983053246,0.153073759975441,MED-imp-Spain,Sargan
2,22,52.7740637508109,4.02007846122946e-09,HIGH-imp-Austria,Weak-IV
1,22,7.3420935385872,0.0127988441682954,HIGH-imp-Austria,Wu-Hausman
1,,1.19099139958839,0.275129670438173,HIGH-imp-Austria,Sargan
2,22,171.197741627417,3.88460309703622e-14,HIGH-imp-Finland,Weak-IV
1,22,0.00172653170977576,0.96723099614273,HIGH-imp-Finland,Wu-Hausman
1,,2.15081868340996,0.142493890202658,HIGH-imp-Finland,Sargan
2,22,67.5973939584407,4.03487352271012e-10,HIGH-imp-France,Weak-IV
1,22,14.2357346419285,0.00104742442538576,HIGH-imp-France,Wu-Hausman
1,,0.286883596074242,0.592224551438804,HIGH-imp-France,Sargan
2,22,57.5411283004615,1.81909673258508e-09,HIGH-imp-Germany,Weak-IV
1,22,10.092078492861,0.00436397403407392,HIGH-imp-Germany,Wu-Hausman
1,,0.72003465456557,0.396132542062697,HIGH-imp-Germany,Sargan
2,22,159.768520083485,7.92197695135269e-14,HIGH-imp-Greece,Weak-IV
1,22,1.73051860983336,0.201890297828515,HIGH-imp-Greece,Wu-Hausman
1,,0.20390583723969,0.651586467438579,HIGH-imp-Greece,Sargan
2,22,211.008784142352,4.41822465400405e-15,HIGH-imp-Italy,Weak-IV
1,22,6.29226768062938,0.0199949829355394,HIGH-imp-Italy,Wu-Hausman
1,,2.31056011313488,0.128497739187209,HIGH-imp-Italy,Sargan
2,22,53.3235843713047,3.6580271879586e-09,HIGH-imp-Netherlands,Weak-IV
1,22,7.59009997150472,0.0115548997811672,HIGH-imp-Netherlands,Wu-Hausman
1,,2.776963708309,0.0956293067779576,HIGH-imp-Netherlands,Sargan
2,22,78.3122865452915,9.89227649744167e-11,HIGH-imp-Portugal,Weak-IV
1,22,1.36407327509668,0.255334749364655,HIGH-imp-Portugal,Wu-Hausman
1,,0.0389329131935356,0.843581628783285,HIGH-imp-Portugal,Sargan
2,22,137.487723472261,3.68742756856729e-13,HIGH-imp-Spain,Weak-IV
1,22,0.0418328813889896,0.83981904148548,HIGH-imp-Spain,Wu-Hausman
1,,3.40445324969618,0.0650206584749503,HIGH-imp-Spain,Sargan
