id,statm,pvalm,statx,pvalx
PRIM-Austria,0.00115987868456974,0.973153345276575,1.99388174706645,0.172583003345064
PRIM-Finland,0.832498275707735,0.371907371183929,1.34415156343568,0.259316445459506
PRIM-France,0.00181870681703737,0.966386379301546,8.1163160563184,0.00961245983771315
PRIM-Germany,2.8097005957486,0.108521647348487,0.10568188074532,0.748331366868868
PRIM-Greece,0.133987828918396,0.717994322984604,2.34365819652739,0.140719852512632
PRIM-Italy,2.74825340928369,0.112225235909665,8.31164232202956,0.00890077754557862
PRIM-Netherlands,5.02369992027749,0.0359354310934318,1.45430185581077,0.241250885798839
PRIM-Portugal,0.1198832189737,0.732606186359709,0.029217388699386,0.865914306923246
PRIM-Spain,0.0220962680444128,0.883249467386075,4.44030932992547,0.047295257706504
RES-Austria,0.00658842353072908,0.936076098372072,0.39069363804882,0.538668348548051
RES-Finland,1.13972502974892,0.297830075636897,2.98070811101202,0.0989460630783446
RES-France,0.433504938947479,0.51742820818324,2.01312763869579,0.170615717914509
RES-Germany,2.15169091567129,0.157229669485128,3.21192332288924,0.0875244070892531
RES-Greece,4.12204760855023,0.0551843355219274,0.0104139180520746,0.919686245632764
RES-Italy,0.710979116707912,0.408620919932413,2.51673641438926,0.127587446971271
RES-Netherlands,3.73833396383529,0.0667712387931768,3.80570546755003,0.0645489554689648
RES-Portugal,0.0178058475408712,0.895117029224683,0.00127069562097466,0.971900650968072
RES-Spain,2.3255817359987,0.142182550857443,1.0463880831616,0.317980584098925
LOW-Austria,1.20784883793286,0.28419920584441,0.340786760860009,0.565593642481178
LOW-Finland,1.32889075552257,0.261956283318779,2.30797468432991,0.143624825016359
LOW-France,0.0274264628304996,0.870048349011902,1.25014351547169,0.276153133543998
LOW-Germany,0.000124922213185098,0.991187843528702,0.937354600928547,0.343978211438804
LOW-Greece,0.0181554026180614,0.894098973291086,0.0679578223887172,0.796872974705957
LOW-Italy,0.795015171316935,0.382690848589169,8.97052513373236,0.00689889082057031
LOW-Netherlands,3.55663412798875,0.0732166403895599,4.77913850384847,0.040272161728451
LOW-Portugal,0.00918266396377442,0.924567168986244,0.482419371424348,0.494941857051927
LOW-Spain,0.126418806363797,0.725720999917658,2.14108876100988,0.158207760576565
MED-Austria,0.752716803712855,0.395423666284206,3.95017870838153,0.0600633164377086
MED-Finland,1.15116055088195,0.295481533761182,2.90358166579686e-05,0.99575148986391
MED-France,1.11352350406496,0.303307047548888,7.44591540048116,0.0125812501756339
MED-Germany,8.70869277183185,0.00762748219331321,3.76401883306321,0.065913810078594
MED-Greece,1.50033652468741,0.234182045022836,3.63838884445109,0.0702318671310785
MED-Italy,7.59850711348415,0.0118251267260846,8.97915213383707,0.00687623522743379
MED-Netherlands,0.561941550353604,0.461794927061698,1.34843202855068,0.258582243274508
MED-Portugal,4.8430975037496,0.0390834367549738,5.78527573369247,0.025461728916823
MED-Spain,15.0158489401972,0.000875560225407634,1.01827560629588,0.324414854347193
HIGH-Austria,0.1111815406211,0.742109312094523,0.0695104205802703,0.794620751814115
HIGH-Finland,0.773462988592991,0.389101066063573,3.88398710424643,0.06207257628815
HIGH-France,0.40749285178418,0.530145419552676,1.25685933188785,0.274903422746267
HIGH-Germany,1.65187144088585,0.212698937334125,0.16086898841898,0.69240958357413
HIGH-Greece,0.0321115938644567,0.859500642940728,0.435763067040225,0.516350342824871
HIGH-Italy,1.5006669224445,0.234132276047172,1.75694236545963,0.19924659940113
HIGH-Netherlands,0.0146751672709619,0.904730928135445,0.255113819583257,0.618756823814923
HIGH-Portugal,1.1155891548721,0.302870331107029,0.610368484472289,0.443368198595915
HIGH-Spain,0.637800831222108,0.433447976332423,0.530842619652657,0.47430018079334
