names
i=1,t=1,y1992
i=1,t=2,y1993
i=1,t=3,y1994
i=1,t=4,y1995
i=1,t=5,y1996
i=1,t=6,y1997
i=1,t=7,y1998
i=1,t=8,y1999
i=1,t=9,y2000
i=1,t=10,y2001
i=1,t=11,y2002
i=1,t=12,y2003
i=1,t=13,y2004
i=1,t=14,y2005
i=1,t=15,y2006
i=1,t=16,y2007
i=1,t=17,y2008
i=1,t=18,y2009
i=1,t=19,y2010
i=1,t=20,y2011
i=1,t=21,y2012
i=1,t=22,y2013
i=1,t=23,y2014
i=1,t=24,y2015
i=1,t=25,y2016
i=1,t=26,y2017
i=1,t=27,y2018
i=1,t=28,y2019
i=2,t=8,y1999
i=2,t=9,y2000
i=2,t=10,y2001
i=2,t=11,y2002
i=2,t=12,y2003
i=2,t=13,y2004
i=2,t=14,y2005
i=2,t=15,y2006
i=2,t=16,y2007
i=2,t=17,y2008
i=2,t=18,y2009
i=2,t=19,y2010
i=2,t=20,y2011
i=2,t=21,y2012
i=2,t=22,y2013
i=2,t=23,y2014
i=2,t=24,y2015
i=2,t=25,y2016
i=2,t=26,y2017
i=2,t=27,y2018
i=2,t=28,y2019
i=3,t=1,y1992
i=3,t=2,y1993
i=3,t=3,y1994
i=3,t=4,y1995
i=3,t=5,y1996
i=3,t=6,y1997
i=3,t=7,y1998
i=3,t=8,y1999
i=3,t=9,y2000
i=3,t=10,y2001
i=3,t=11,y2002
i=3,t=12,y2003
i=3,t=13,y2004
i=3,t=14,y2005
i=3,t=15,y2006
i=3,t=16,y2007
i=3,t=17,y2008
i=3,t=18,y2009
i=3,t=19,y2010
i=3,t=20,y2011
i=3,t=21,y2012
i=3,t=22,y2013
i=3,t=23,y2014
i=3,t=24,y2015
i=3,t=25,y2016
i=3,t=26,y2017
i=3,t=27,y2018
i=3,t=28,y2019
i=4,t=1,y1992
i=4,t=2,y1993
i=4,t=3,y1994
i=4,t=4,y1995
i=4,t=5,y1996
i=4,t=6,y1997
i=4,t=7,y1998
i=4,t=8,y1999
i=4,t=9,y2000
i=4,t=10,y2001
i=4,t=11,y2002
i=4,t=12,y2003
i=4,t=13,y2004
i=4,t=14,y2005
i=4,t=15,y2006
i=4,t=16,y2007
i=4,t=17,y2008
i=4,t=18,y2009
i=4,t=19,y2010
i=4,t=20,y2011
i=4,t=21,y2012
i=4,t=22,y2013
i=4,t=23,y2014
i=4,t=24,y2015
i=4,t=25,y2016
i=4,t=26,y2017
i=4,t=27,y2018
i=4,t=28,y2019
i=5,t=1,y1992
i=5,t=2,y1993
i=5,t=3,y1994
i=5,t=4,y1995
i=5,t=5,y1996
i=5,t=6,y1997
i=5,t=7,y1998
i=5,t=8,y1999
i=5,t=9,y2000
i=5,t=10,y2001
i=5,t=11,y2002
i=5,t=12,y2003
i=5,t=13,y2004
i=5,t=14,y2005
i=5,t=15,y2006
i=5,t=16,y2007
i=5,t=17,y2008
i=5,t=18,y2009
i=5,t=19,y2010
i=5,t=20,y2011
i=5,t=21,y2012
i=5,t=22,y2013
i=5,t=23,y2014
i=5,t=24,y2015
i=5,t=25,y2016
i=5,t=26,y2017
i=5,t=27,y2018
i=5,t=28,y2019
i=6,t=1,y1992
i=6,t=2,y1993
i=6,t=3,y1994
i=6,t=4,y1995
i=6,t=5,y1996
i=6,t=6,y1997
i=6,t=7,y1998
i=6,t=8,y1999
i=6,t=9,y2000
i=6,t=10,y2001
i=6,t=11,y2002
i=6,t=12,y2003
i=6,t=13,y2004
i=6,t=14,y2005
i=6,t=15,y2006
i=6,t=16,y2007
i=6,t=17,y2008
i=6,t=18,y2009
i=6,t=19,y2010
i=6,t=20,y2011
i=6,t=21,y2012
i=6,t=22,y2013
i=6,t=23,y2014
i=6,t=24,y2015
i=6,t=25,y2016
i=6,t=26,y2017
i=6,t=27,y2018
i=6,t=28,y2019
i=7,t=1,y1992
i=7,t=2,y1993
i=7,t=3,y1994
i=7,t=4,y1995
i=7,t=5,y1996
i=7,t=6,y1997
i=7,t=7,y1998
i=7,t=8,y1999
i=7,t=9,y2000
i=7,t=10,y2001
i=7,t=11,y2002
i=7,t=12,y2003
i=7,t=13,y2004
i=7,t=14,y2005
i=7,t=15,y2006
i=7,t=16,y2007
i=7,t=17,y2008
i=7,t=18,y2009
i=7,t=19,y2010
i=7,t=20,y2011
i=7,t=21,y2012
i=7,t=22,y2013
i=7,t=23,y2014
i=7,t=24,y2015
i=7,t=25,y2016
i=7,t=26,y2017
i=7,t=27,y2018
i=7,t=28,y2019
i=8,t=1,y1992
i=8,t=2,y1993
i=8,t=3,y1994
i=8,t=4,y1995
i=8,t=5,y1996
i=8,t=6,y1997
i=8,t=7,y1998
i=8,t=8,y1999
i=8,t=9,y2000
i=8,t=10,y2001
i=8,t=11,y2002
i=8,t=12,y2003
i=8,t=13,y2004
i=8,t=14,y2005
i=8,t=15,y2006
i=8,t=16,y2007
i=8,t=17,y2008
i=8,t=18,y2009
i=8,t=19,y2010
i=8,t=20,y2011
i=8,t=21,y2012
i=8,t=22,y2013
i=8,t=23,y2014
i=8,t=24,y2015
i=8,t=25,y2016
