ect_x,tech,reporter,year,ect_m
-17.1995851387351,HIGH,Portugal,2005,-2.84863168798861
-17.1471638485428,HIGH,Portugal,2004,-2.84969131044583
-17.1152259740522,HIGH,Portugal,2002,-2.79932901679064
-17.107715212433,HIGH,Portugal,2001,-2.78305117914563
-9.61214809857931,HIGH,Germany,2008,-8.15444539261448
-9.60385072289411,HIGH,Germany,2004,-8.14450307230221
-9.57703650457119,HIGH,Germany,2009,-8.09512407962673
-9.54362895236363,HIGH,Germany,2005,-8.07533223241465
-9.52833109271638,HIGH,Germany,2006,-7.97470812027581
-9.51873442818457,HIGH,Germany,2007,-7.98790937808764
-9.51410893887066,HIGH,Germany,2010,-7.94696962354374
-9.50759387667465,HIGH,Germany,1997,-8.34053592158774
-9.50220422101626,HIGH,Germany,2003,-8.12396529082186
-9.49268114139027,HIGH,Germany,2000,-8.18080892633428
-9.47774063175351,HIGH,Germany,1994,-8.36007959715585
-9.47456258770837,HIGH,Germany,1998,-8.277932336061
-9.47428763544272,HIGH,Germany,1993,-8.33738447543839
-9.473088804913,HIGH,Germany,1999,-8.22073501467162
-9.45680669028273,HIGH,Germany,2001,-8.08419048815459
-9.45366818681599,HIGH,Germany,2019,-8.21805858980479
-9.4532101772891,HIGH,Germany,1995,-8.3333293586492
-9.44227285327955,HIGH,Germany,1996,-8.30440649416862
-9.43297535356967,HIGH,Germany,2011,-7.95229470830247
-9.42232687077971,HIGH,Germany,2002,-8.05671369619399
-9.42230625616148,HIGH,Germany,2018,-8.24172713142997
-9.4188846331041,HIGH,Germany,2012,-8.04545444735242
-9.38986973159938,HIGH,Germany,2017,-8.19543155853942
-9.36641161680817,HIGH,Germany,2015,-8.14022961080526
-9.3453184883469,HIGH,Germany,2016,-8.11544896492516
-9.33700640752952,HIGH,Germany,2014,-8.07100211116406
-9.32163789130686,HIGH,Germany,2013,-8.03208984134047
-8.85585730876828,HIGH,Netherlands,1993,4.92336563335003
-8.64657972139795,HIGH,Netherlands,1995,5.01125235319311
-8.63935026550572,HIGH,Netherlands,1994,4.9978491775437
-8.57092950843286,HIGH,Netherlands,2009,4.93241313717358
-8.54480543036968,HIGH,Netherlands,1996,5.08602850430444
-8.53118708619664,HIGH,Netherlands,2019,4.98410696499912
-8.52431656659842,HIGH,Netherlands,2003,4.99165048546321
-8.51336802250395,HIGH,Netherlands,2017,5.00422465210835
-8.50229364403489,HIGH,Netherlands,1997,5.08890236871883
-8.4905780452328,HIGH,Netherlands,2010,4.92219527417488
-8.4818020616194,HIGH,Netherlands,2018,5.02615174814548
-8.45190598464039,HIGH,Netherlands,2016,5.07197549615379
-8.41614332647201,HIGH,Netherlands,2008,5.09924874966194
-8.41034021913558,HIGH,Netherlands,2004,5.13939193776685
-8.40753163389499,HIGH,Netherlands,1999,5.13467363798735
-8.40541593840013,HIGH,Netherlands,2002,5.12156845803154
-8.37937470939086,HIGH,Netherlands,2015,5.13074471118496
-8.37668395781179,HIGH,Netherlands,2014,5.13580741648022
-8.37093966458751,HIGH,Netherlands,2000,5.16925099616956
-8.36836800711446,HIGH,Netherlands,2012,5.11374962047549
-8.36156122493487,HIGH,Netherlands,2011,5.09644259227939
-8.35939587641168,HIGH,Netherlands,2007,5.249963395586
-8.34666106221279,HIGH,Netherlands,2005,5.23157177634122
-8.33651951023319,HIGH,Netherlands,2006,5.24508903748667
-8.32362126551915,HIGH,Netherlands,2013,5.18835881558209
-8.24485153037632,HIGH,Netherlands,1998,5.26414544162507
-8.22276090870935,HIGH,Netherlands,2001,5.29598917772359
3.35973058019182,HIGH,France,1993,-1.29299316155494
3.39674914904062,HIGH,France,1994,-1.29504378222164
3.43816610747102,HIGH,France,1995,-1.24785791085371
3.53521423316284,HIGH,France,1996,-1.17619787431477
3.55983371716329,HIGH,France,1997,-1.17495685463022
3.56284523240098,HIGH,France,2008,-1.31214023814395
3.60242122675647,HIGH,France,2005,-1.29048708662085
3.60872668052837,HIGH,France,2009,-1.23509981529065
3.61185836681977,HIGH,France,2006,-1.25932992718091
3.61616068123253,HIGH,France,2004,-1.25943450446258
3.65019621839187,HIGH,France,2010,-1.20848046743767
3.65184362291231,HIGH,France,2019,-1.32667364549288
3.65980642955299,HIGH,France,2007,-1.22096824044621
3.66204481233419,HIGH,France,1998,-1.09745229325154
3.70252895244301,HIGH,France,2018,-1.24851090838193
3.70648212475814,HIGH,France,2000,-1.13751108039118
3.71665681271436,HIGH,France,1999,-1.09108258730461
3.71784012726767,HIGH,France,2003,-1.16948942408632
3.77048630381932,HIGH,France,2012,-1.09000901490217
3.77222485008052,HIGH,France,2017,-1.17980778070802
3.78543752149299,HIGH,France,2011,-1.08097924987598
3.7908766699613,HIGH,France,2002,-1.05692046171055
3.80218462151492,HIGH,France,2015,-1.15017014496886
3.81215094176664,HIGH,Italy,1993,-103.814071429339
3.82500688066872,HIGH,France,2016,-1.13562952689825
3.82870781430398,HIGH,France,2001,-0.98793510651036
3.84957059471127,HIGH,Italy,1994,-103.834780297962
3.86294248535725,HIGH,France,2014,-1.07844964100568
3.87335873651815,HIGH,Italy,1995,-104.083639693453
3.87637721688789,HIGH,France,2013,-1.038764237149
3.90014924714874,HIGH,Italy,2009,-106.651004397007
3.90610657108612,HIGH,Italy,1996,-104.456820710738
3.90898335787369,HIGH,Italy,2010,-105.699237642747
3.91260870320232,HIGH,Italy,2008,-106.808423256791
3.93950076593866,HIGH,Italy,2005,-106.252830715913
3.94457944905047,HIGH,Italy,2004,-106.064871157101
3.94652508836574,HIGH,Italy,1998,-104.853856803177
3.94677175207091,HIGH,Italy,2007,-106.559606250428
3.96527368918445,HIGH,Italy,1999,-105.051166107655
3.97011650322896,HIGH,Italy,2000,-105.200154800536
3.97066929387346,HIGH,Italy,1997,-104.635911849819
3.98058916678775,HIGH,Italy,2006,-106.294438905116
3.99865019919263,HIGH,Italy,2011,-105.792284320143
4.04160035551856,HIGH,Italy,2012,-105.857990167586
4.08424367500401,HIGH,Italy,2017,-105.381677852512
4.08560932319703,HIGH,Italy,2003,-105.941469897466
4.09819790724071,HIGH,Italy,2016,-105.161034034962
4.10644979102113,HIGH,Italy,2013,-105.3438276601
4.11509882651535,HIGH,Italy,2018,-105.571023029599
4.11694432419859,HIGH,Italy,2002,-105.89668877952
4.13024032032964,HIGH,Italy,2015,-105.055389533264
4.13621407491748,HIGH,Italy,2014,-105.046004163077
4.13795241062783,HIGH,Italy,2001,-105.554151127239
4.1399650671359,HIGH,Italy,2019,-105.632127457889
49.6547702642113,HIGH,Finland,1993,18.9740592874583
49.9689887840867,HIGH,Finland,1994,19.1417302598734
50.3905963098651,HIGH,Finland,1995,19.4826154994412
50.7944779061534,HIGH,Finland,1996,19.7448265011451
50.9562862363581,HIGH,Finland,1997,19.8693663657516
51.2619202598024,HIGH,Finland,1998,20.0431959937239
51.5546257716582,HIGH,Finland,1999,20.2370794037181
51.7468565570103,HIGH,Finland,2000,20.3185170409907
51.8068767460109,HIGH,Finland,2014,19.9883609760538
51.8909841179423,HIGH,Finland,2015,20.0092690809034
51.9404755514703,HIGH,Finland,2013,20.132549269733
51.9423340972712,HIGH,Finland,2017,19.9444091429441
51.9517316915057,HIGH,Finland,2016,19.9748872721956
51.9879321778876,HIGH,Finland,2012,20.1793639583428
52.0098363055028,HIGH,Finland,2011,20.1814612026653
52.0450610858929,HIGH,Finland,2010,20.2809662745577
52.1190822884804,HIGH,Finland,2018,20.0124854916997
52.1224430915459,HIGH,Finland,2004,20.4350352479027
52.1428132145785,HIGH,Finland,2003,20.4517477002744
52.1549022231487,HIGH,Finland,2002,20.5060882416601
52.1620789033134,HIGH,Finland,2019,19.9961649719565
52.1624930430622,HIGH,Finland,2005,20.4239318732779
52.220914036454,HIGH,Finland,2001,20.6275833975199
52.4311982535566,HIGH,Finland,2006,20.6972566974127
52.5491340161547,HIGH,Finland,2007,20.6950468519577
52.615850618684,HIGH,Finland,2008,20.6509641239322
52.6551519606617,HIGH,Finland,2009,20.7316208674059
