"","period","target","income","prices","fprices","exports","imports","xrate","rprices","consump","cacc","new_rprices","nom_income","cacc1","intra","extra","fincome"
"296","2007","Spain","1109.499","92.3560922","89.0730842","302.607","383.53","1","110.8946159","879.431","-9.432015","103.1336742","1075.539","-101.445","116.7981","68.0231",12.1226871253516
"297","2008","Spain","1119.341","94.8123149","92.9482404","299.864","362.406","1","116.2259748","887.075","-8.9032312","100.3940055","1109.541","-98.785","119.8604","71.5273",12.1110258875273
"298","2009","Spain","1077.219","92.2349597","86.4382794","267.365","296.076","1","114.3376835","872.231","-4.0880071","106.0923155","1069.323","-43.714","103.6513","59.3388",12.0536049561796
"299","2010","Spain","1078.974","95.4694321","92.0334956","291.597","314.429","1","113.0301053","878.123","-3.6554182","103.0988472","1072.709","-39.212","119.9357","71.9762",12.0930738956552
"300","2011","Spain","1070.187","99.6040338","99.5732183","315.431","312.572","1","110.4333895","862.274","-2.723445","98.4608908","1063.763","-28.971","132.3599","87.8634",12.0940926825548
"301","2012","Spain","1038.521","101.8700865","102.9585537","318.381","294.333","1","104.6226893","831.662","0.0860243","98.0089318","1031.104","0.887","131.7543","98.0479",12.1076836408382
"302","2013","Spain","1023.947","101.2072665","100.8658436","332.321","293.702","1","102.9470241","809.536","2.0386469","98.9778071","1020.677","20.808","134.0883","105.226",12.1271443540253
"303","2014","Spain","1038.239","99.4904466","99.9786402","347.363","313.673","1","101.7912561","818.489","1.6983211","98.3353257","1032.608","17.537","138.8218","105.4652",12.1308932321524
"304","2015","Spain","1078.092","100","100","362.356","329.598","1","100","840.632","2.0246881","100","1078.092","21.828","146.9491","107.6505",12.1467716698076
"305","2016","Spain","1110.842","98.8347882","98.4127922","381.819","338.33","1","99.6770668","859.754","3.1738483","100.0553008","1114.42","35.37","154.3991","107.6422",12.1547269778413
"306","2017","Spain","1143.898","101.372182","101.439275","402.862","361.293","1","100.2991541","881.505","2.7706857","99.6982191","1162.492","32.209","168.1725","114.9221",12.1716608637092
"307","2018","Spain","1170.03","103.2392112","103.9820593","409.822","375.459","1","100.1678736","897.639","1.8781269","98.978103","1203.859","22.61","174.671","118.7877",12.178986591359
"308","2019","Spain","1193.243","103.7894847","104.6958282","418.896","380.295","1","101.946571","909.096","2.1066821","99.05334","1245.513","26.239","178.369","119.9679",12.1766013811404
