ect_x,tech,reporter,year,ect_m
-19.0972064828789,HIGH,Spain,1997,-4.76418759083468
-19.0868746722238,HIGH,Spain,2006,-4.50012892519739
-19.0696856770816,MED,Portugal,2015,-8.35104763360431
-19.0695916333985,MED,Portugal,2014,-8.4081416770986
-19.0677837432931,HIGH,Spain,2012,-4.60527471708328
-19.0650764374011,MED,Portugal,2017,-8.31627184505954
-19.0628045991492,HIGH,Spain,2019,-4.55430585344676
-19.0615407596997,HIGH,Spain,2005,-4.51419194129775
-19.0612581090911,MED,Portugal,2016,-8.31669697766979
-19.0547854992127,HIGH,Spain,2003,-4.57583109513565
-19.0506254627308,HIGH,Spain,2013,-4.62083179747576
-19.0474594724226,MED,Portugal,2019,-8.34156927794545
-19.0461140375502,MED,Portugal,2018,-8.32193576925668
-19.0448146172708,HIGH,Spain,2004,-4.56085145657527
-19.0446267335177,HIGH,Spain,2002,-4.57196821049489
-19.0387848913973,HIGH,Spain,1998,-4.69690259311296
-19.0364153538651,HIGH,Spain,1999,-4.62929154334232
-19.0358006854762,HIGH,Spain,2018,-4.55925116631928
-19.0335143510897,HIGH,Spain,2000,-4.56616626427023
-19.0322749205559,HIGH,Spain,2001,-4.55062914938097
-19.0276941904445,HIGH,Spain,2016,-4.56315544223624
-19.023676439365,HIGH,Spain,2017,-4.58140968675954
-19.0175243723832,HIGH,Spain,2015,-4.55678957960255
-19.0160096882082,HIGH,Spain,2014,-4.60200819835014
-17.5825851757227,LOW,Spain,1993,-10.9976925768018
-17.5031853441623,LOW,Spain,1994,-11.026315607561
-17.4157560032644,LOW,Spain,1995,-10.9748702521776
-17.3822598503899,LOW,Spain,1996,-10.9356505596813
-17.3279152227825,LOW,Spain,1997,-10.928615106785
-17.3115160757235,LOW,Spain,2010,-11.1904430209029
-17.3092112433497,LOW,Spain,2009,-11.0810326433331
-17.3032584941562,LOW,Spain,2007,-10.9965886660087
-17.2958764701787,LOW,Spain,2008,-11.0030274378999
-17.2842351967087,LOW,Spain,2011,-11.1342366838191
-17.2839224701404,PRIM,Netherlands,1993,-8.77876395624613
-17.2788994456304,LOW,Spain,2006,-10.9783091131417
-17.2639242718281,LOW,Spain,1998,-10.8952861572175
-17.2567935362293,LOW,Spain,2005,-10.9588702088423
-17.2561888545323,LOW,Spain,2003,-10.9643457860672
-17.2559909528588,LOW,Spain,1999,-10.8678304225827
-17.2494173383607,LOW,Spain,2012,-11.1203897412412
-17.2478090653061,LOW,Spain,2002,-10.9353182498397
-17.247616467584,LOW,Spain,2000,-10.8457319446577
-17.2443798769096,LOW,Spain,2004,-10.976809896443
-17.239194434437,LOW,Spain,2001,-10.8779493922046
-17.2377000386411,PRIM,Netherlands,1994,-8.80330799297689
-17.2328340860804,LOW,Spain,2013,-11.1078937365412
-17.2256255025695,LOW,Spain,2019,-11.152728847868
-17.2209569656679,PRIM,Netherlands,1995,-8.78331536544355
-17.2028428680686,PRIM,Netherlands,2004,-8.81887712658078
-17.2021048124095,LOW,Spain,2016,-11.0851440682149
-17.2018546250597,LOW,Spain,2018,-11.1365775596235
-17.1976149066717,LOW,Spain,2014,-11.0758702570865
-17.195775614877,LOW,Spain,2015,-11.0435978691626
-17.1945486159114,LOW,Spain,2017,-11.1313483418856
-17.1925104728295,PRIM,Netherlands,2003,-8.83551385801185
-17.1896077967638,PRIM,Netherlands,1997,-8.78316475906235
