ect_x,tech,reporter,year,ect_m
-34.2523789919812,HIGH,Portugal,2010,-12.0776391677309
-34.2333371456335,HIGH,Portugal,2018,-12.0142639775155
-34.2047314354083,HIGH,Portugal,2004,-12.0784045812822
-34.2020230561041,HIGH,Portugal,2017,-11.9689242130902
-34.1777764451242,HIGH,Portugal,2016,-11.9326309518401
-34.1691324835772,HIGH,Portugal,2012,-12.0389069614168
-34.1551628204407,HIGH,Portugal,2003,-12.0778222683026
-34.1518730127521,HIGH,Portugal,2009,-11.9171440354717
-34.1508412478364,HIGH,Portugal,2002,-12.1243639534258
-34.1413148812721,HIGH,Portugal,2015,-11.917144336377
-34.1382026065287,HIGH,Portugal,2001,-12.1000696744218
-34.1313093237025,HIGH,Portugal,2011,-11.9295671097876
-34.1261237389898,HIGH,Portugal,2014,-11.9194309081719
-34.1106756672559,HIGH,Portugal,2013,-11.9529379550641
-34.0717398363348,HIGH,Portugal,2000,-12.0535195421455
-34.0013418146059,HIGH,Portugal,1999,-11.9774743002425
-33.9207751860446,HIGH,Portugal,1998,-11.9260648350573
-33.8779010157362,HIGH,Portugal,1997,-11.9006728327704
-33.8315650696953,HIGH,Portugal,1996,-11.8468967729582
-33.8241513907737,HIGH,Portugal,1994,-11.8383812043928
-33.8234103436422,HIGH,Portugal,1993,-11.8773829783858
-33.8091107221542,HIGH,Portugal,1995,-11.7964762827747
-31.3537105967508,MED,Greece,2017,-2.14565128587035
-31.340999815803,MED,Greece,2016,-2.2009654997874
-31.3379986450953,MED,Greece,2019,-2.10405396936982
-31.3292256501053,MED,Greece,2018,-2.0996780799881
-31.3269229478908,MED,Greece,2007,-2.2118118136637
-31.3253412858257,MED,Greece,2006,-2.31219271558767
-31.3161776456039,MED,Greece,2003,-2.34704640824113
-31.2997606564477,MED,Greece,2011,-2.36530408325276
-31.2800768763965,MED,Greece,1996,-2.58042980694637
-31.2698866248103,MED,Greece,2002,-2.34285739362527
-31.2679502157262,MED,Greece,2005,-2.35335972465936
-31.2641970707179,MED,Greece,2015,-2.23076274908947
-31.2636155199641,MED,Greece,2012,-2.32652722914478
-31.2558941812279,MED,Greece,1995,-2.63876182006234
-31.2511581678119,MED,Greece,2013,-2.34639452803042
-31.2481005375898,MED,Greece,1998,-2.43588496545653
-31.2397338358052,MED,Greece,2010,-2.42403241072878
-31.2349516345607,MED,Greece,2014,-2.29514862705547
-31.2296675524953,MED,Greece,2004,-2.37361138061596
-31.19915201868,MED,Greece,2009,-2.4682340770223
-31.1967014046465,MED,Greece,1994,-2.71016083076369
-31.1822490333245,MED,Greece,1997,-2.54691678932289
-31.1660094438491,MED,Greece,1993,-2.70682967036477
-31.1612721391315,MED,Greece,2008,-2.31378942772703
-31.1538964203148,MED,Greece,2001,-2.27127445032125
-31.1395259818675,MED,Greece,1999,-2.33753197668218
-31.0794145430729,MED,Greece,2000,-2.22049994824765
-29.8723371301122,LOW,Netherlands,2009,-45.0788889671175
-29.828869487146,LOW,Netherlands,2011,-44.9838079429416
-29.8244224105058,LOW,Netherlands,2008,-44.7115386591902
-29.8227065475761,LOW,Netherlands,2003,-44.7032403665473
-29.7928894728931,LOW,Netherlands,2007,-44.4839778920958
-29.7850125326318,LOW,Netherlands,2010,-44.7673090854575
-29.7848816827146,LOW,Netherlands,2004,-44.5884378351066
-29.7781694603914,LOW,Netherlands,2019,-44.6704304355482
-29.7711071694381,LOW,Netherlands,2002,-44.5738945814175
-29.7560757616925,LOW,Netherlands,2006,-44.4294559968825
