ect_x,tech,reporter,year,ect_m
-23.2910814490015,RES,Greece,1999,34.2629767941943
-23.2813382015814,RES,Greece,2001,33.7644363659143
-23.2239154038908,RES,Greece,2000,34.3022082179655
-23.1362376542049,RES,Greece,2017,34.8979064821417
-23.0905358190294,RES,Greece,2018,34.9492608485888
-23.0348995465655,RES,Greece,2009,34.6814546698147
-23.0218466133272,RES,Greece,1993,32.8505048292061
-23.0043115573837,RES,Greece,2019,34.7354547305523
-22.9848603325169,RES,Greece,1998,34.457690996214
-22.9585408921605,RES,Greece,1996,34.1080209968846
-22.9559958919438,RES,Greece,2010,34.998218778068
-22.9548250023659,RES,Greece,2016,34.8711646552402
-22.946746181218,RES,Greece,1994,33.3307653296482
-22.8808807460428,RES,Greece,1995,33.6177454437051
-22.8380928486227,RES,Greece,1997,34.1216256619961
-22.7847554952768,RES,Greece,2011,35.2733978584994
-22.6063690835283,RES,Greece,2012,36.2402887297333
-22.5975599622965,RES,Greece,2015,35.3993900003356
-22.4156260326841,RES,Greece,2014,35.6240912538439
-22.3294889095549,RES,Greece,2013,36.1918050814979
-21.6316449247654,HIGH,Portugal,2010,3.75771446277283
-21.6199831695898,HIGH,Portugal,2011,3.64385611315638
-21.5692581242328,HIGH,Portugal,1994,3.6707842148197
-21.5548072408621,HIGH,Portugal,2012,3.62856521246807
-21.4079473165454,HIGH,Portugal,1995,3.78030089494271
-21.3910404991163,HIGH,Portugal,2013,3.70386285202355
-21.3801851405173,HIGH,Portugal,2019,3.74296105804631
-21.349944174271,HIGH,Portugal,2016,3.7029449328298
-21.3421810519839,HIGH,Portugal,1993,3.83573522447172
-21.3209461826997,HIGH,Portugal,2014,3.74771004265177
-21.3175460606408,HIGH,Portugal,2008,3.75477420593389
-21.3099172376665,HIGH,Portugal,2015,3.74802027568004
-21.2952764361096,HIGH,Portugal,2009,3.78717339533847
-21.2866907438495,HIGH,Portugal,2018,3.69955826901125
-21.2776745803654,HIGH,Portugal,1999,3.71968196486872
-21.2662831574686,HIGH,Portugal,2017,3.7500587778304
-21.2609234723761,HIGH,Portugal,2006,3.8564408987092
-21.2557342806446,HIGH,Portugal,2007,3.83994896424053
-21.2373899981257,HIGH,Portugal,2003,3.62280153667149
-21.2254474261449,HIGH,Portugal,1997,3.76196509667667
-21.2236841283893,HIGH,Portugal,1998,3.74544317161432
-21.2124452037771,HIGH,Portugal,2000,3.75235033571033
-21.1835521269347,HIGH,Portugal,2005,3.79606838204915
-21.1230838516821,HIGH,Portugal,1996,3.89297829829042
-21.1182331658012,HIGH,Portugal,2004,3.75055599938978
-21.0699222456181,HIGH,Portugal,2002,3.74556683828683
-21.0496352237014,HIGH,Portugal,2001,3.73487695834344
-19.5901749447862,MED,Greece,1993,12.4558447422455
-19.5421939397886,MED,Greece,1995,12.2122354049129
-19.4913755836597,MED,Greece,2018,12.5423000515836
-19.4869854946865,MED,Greece,2017,12.419088795455
-19.4841046891805,MED,Greece,2000,12.4271559999597
-19.4592445920398,MED,Greece,1994,12.4428605104192
-19.4537507918399,MED,Greece,2001,12.4513250580782
-19.4266044361645,MED,Greece,2012,11.9898244126594
-19.4228466265994,MED,Greece,2011,12.1410073177871
-19.4150923069742,MED,Greece,2002,12.3407881711169
-19.4077760127592,MED,Greece,2003,12.3744097190175
-19.4065214024705,MED,Greece,2019,12.4820991725838
-19.4052605767157,MED,Greece,2010,12.3205893791016
-19.3997596644357,MED,Greece,2014,12.1008032498428
-19.3937978290488,MED,Greece,2015,12.2681792953955
-19.3794663731279,MED,Greece,1996,12.2829902486133
-19.3704349033937,MED,Greece,2006,12.2462626234047
-19.3677389012223,MED,Greece,2013,12.0729131844371
-19.367668470654,MED,Greece,2005,12.410647937364
-19.3525960582835,MED,Greece,2016,12.3086614553791
-19.3498447417955,MED,Greece,1999,12.3765336866953
-19.349645169522,MED,Greece,2004,12.4333917455761
-19.3297712970331,MED,Greece,2007,12.3543474797445
