reporter,year,tech,tech_exports,xsum,xqt,xprices,tech_imports,msum,mqt,mprices,income,consump,imports,fprices,xrate,prices,rprices,old_rprices,exports,inst_income,fincome_alt,fincome,fincome_alt3,fincome_alt2,investment,sum_tech_exports,sum_tech_imports,share_tech_exports,share_tech_imports
Austria,1992,HIGH,19.0178172183967,4824465202,181690858,7.88431869422191,19.0815850860661,7489578576,193654284,8.2603634679281,5.43389185812377,5.18852761183268,4.26769544702929,72.8496086,1.2981,77.3237837,4.59609135181135,4.63721144515882,4.16906080172468,5.42858827510521,11.9387035082717,9.13495185257939,11.9432188102925,8.88121960099242,4.08649886507286,57971659029,66666519586,0.0832210994614901,0.112343926494294
Austria,1992,LOW,22.1002827210562,11551676749,3963061704,5.6749839013831,21.7389502322093,12030983759,2761252539,6.07697109284636,5.43389185812377,5.18852761183268,4.26769544702929,72.8496086,1.2981,77.3237837,4.59609135181135,4.63721144515882,4.16906080172468,5.42858827510521,11.9387035082717,9.13495185257939,11.9432188102925,8.88121960099242,4.08649886507286,57971659029,66666519586,0.199264208450915,0.180465154529029
Austria,1992,MED,22.1697042069951,18600986287,4247957886,6.08194642143552,22.2343209196185,21310092671,4531509390,6.1532958981266,5.43389185812377,5.18852761183268,4.26769544702929,72.8496086,1.2981,77.3237837,4.59609135181135,4.63721144515882,4.16906080172468,5.42858827510521,11.9387035082717,9.13495185257939,11.9432188102925,8.88121960099242,4.08649886507286,57971659029,66666519586,0.320863446010661,0.319652095284649
Austria,1992,PRIM,21.6543338797511,12781412300,2537217588,6.22209409463439,23.6779258850917,16293023826,19195196168,4.44124716790837,5.43389185812377,5.18852761183268,4.26769544702929,72.8496086,1.2981,77.3237837,4.59609135181135,4.63721144515882,4.16906080172468,5.42858827510521,11.9387035082717,9.13495185257939,11.9432188102925,8.88121960099242,4.08649886507286,57971659029,66666519586,0.220476910857531,0.244395896578671
Austria,1992,RES,22.9775271565789,10213118491,9528252377,4.67458188686211,23.5841269781395,9542840754,17476570253,4.00010025888557,5.43389185812377,5.18852761183268,4.26769544702929,72.8496086,1.2981,77.3237837,4.59609135181135,4.63721144515882,4.16906080172468,5.42858827510521,11.9387035082717,9.13495185257939,11.9432188102925,8.88121960099242,4.08649886507286,57971659029,66666519586,0.176174335219403,0.143142927113357
Austria,1993,HIGH,19.0879560297169,4660029798,194891983,7.77950183575528,19.105014828013,6890675901,198245125,8.15359037397464,5.43914613097049,5.19896487760976,4.21123683089298,76.6456032,1.171,81.0222309,4.65470350252282,4.6341921519258,4.14504401365315,5.44230692536999,11.9408432686285,9.13252092851818,11.9454109772395,8.87407914309127,4.05821985150347,52007060256,59556739478,0.0896037917748365,0.115699347569982
Austria,1993,LOW,22.1274708231742,10419509578,4072287929,5.54464516952685,21.7443917652824,11310199156,2776318941,6.00974915646681,5.43914613097049,5.19896487760976,4.21123683089298,76.6456032,1.171,81.0222309,4.65470350252282,4.6341921519258,4.14504401365315,5.44230692536999,11.9408432686285,9.13252092851818,11.9454109772395,8.87407914309127,4.05821985150347,52007060256,59556739478,0.200347982114561,0.1899062852522
Austria,1993,MED,22.2011779850525,16654145974,4383783429,5.93991723075865,22.1538141833631,18366194519,4180991195,6.08513355996222,5.43914613097049,5.19896487760976,4.21123683089298,76.6456032,1.171,81.0222309,4.65470350252282,4.6341921519258,4.14504401365315,5.44230692536999,11.9408432686285,9.13252092851818,11.9454109772395,8.87407914309127,4.05821985150347,52007060256,59556739478,0.320228559199876,0.308381464129419
Austria,1993,PRIM,21.6664656150136,11353940560,2568185910,6.09153527749636,23.6405581630993,14573529354,18491151607,4.3670846850254,5.43914613097049,5.19896487760976,4.21123683089298,76.6456032,1.171,81.0222309,4.65470350252282,4.6341921519258,4.14504401365315,5.44230692536999,11.9408432686285,9.13252092851818,11.9454109772395,8.87407914309127,4.05821985150347,52007060256,59556739478,0.218315369184708,0.244699919467274
Austria,1993,RES,23.0213415010319,8919434346,9955007233,4.49532705235823,23.5732806145823,8416140548,17288037315,3.88530676430321,5.43914613097049,5.19896487760976,4.21123683089298,76.6456032,1.171,81.0222309,4.65470350252282,4.6341921519258,4.14504401365315,5.44230692536999,11.9408432686285,9.13252092851818,11.9454109772395,8.87407914309127,4.05821985150347,52007060256,59556739478,0.171504297726018,0.141312983581126
